p1	p2	genotype
SAM349	SAM354	SAM349xSAM354
SAM349	SAM355	SAM349xSAM355
SAM349	SAM356	SAM349xSAM356
SAM349	SAM357	SAM349xSAM357
SAM349	SAM358	SAM349xSAM358
SAM349	SAM360	SAM349xSAM360
SAM349	SAM361	SAM349xSAM361
SAM349	SAM362	SAM349xSAM362
SAM349	SAM363	SAM349xSAM363
SAM349	SAM364	SAM349xSAM364
SAM349	SAM365	SAM349xSAM365
SAM349	SAM366	SAM349xSAM366
SAM349	SAM367	SAM349xSAM367
SAM349	SAM369	SAM349xSAM369
SAM349	SAM370	SAM349xSAM370
SAM349	SAM372	SAM349xSAM372
SAM349	SAM373	SAM349xSAM373
SAM349	SAM374	SAM349xSAM374
SAM349	SAM375	SAM349xSAM375
SAM349	SAM377	SAM349xSAM377
SAM349	SAM378	SAM349xSAM378
SAM349	SAM379	SAM349xSAM379
SAM349	SAM380	SAM349xSAM380
SAM349	SAM381	SAM349xSAM381
SAM349	SAM382	SAM349xSAM382
SAM350	SAM351	SAM350xSAM351
SAM350	SAM352	SAM350xSAM352
SAM350	SAM353	SAM350xSAM353
SAM350	SAM354	SAM350xSAM354
SAM350	SAM355	SAM350xSAM355
SAM350	SAM356	SAM350xSAM356
SAM350	SAM357	SAM350xSAM357
SAM350	SAM358	SAM350xSAM358
SAM350	SAM360	SAM350xSAM360
SAM350	SAM361	SAM350xSAM361
SAM350	SAM362	SAM350xSAM362
SAM350	SAM363	SAM350xSAM363
SAM350	SAM364	SAM350xSAM364
SAM350	SAM365	SAM350xSAM365
SAM350	SAM366	SAM350xSAM366
SAM350	SAM367	SAM350xSAM367
SAM350	SAM369	SAM350xSAM369
SAM350	SAM370	SAM350xSAM370
SAM350	SAM372	SAM350xSAM372
SAM350	SAM373	SAM350xSAM373
SAM350	SAM374	SAM350xSAM374
SAM350	SAM375	SAM350xSAM375
SAM350	SAM377	SAM350xSAM377
SAM350	SAM378	SAM350xSAM378
SAM350	SAM379	SAM350xSAM379
SAM350	SAM380	SAM350xSAM380
SAM350	SAM381	SAM350xSAM381
SAM350	SAM382	SAM350xSAM382
SAM351	SAM352	SAM351xSAM352
SAM351	SAM353	SAM351xSAM353
SAM351	SAM354	SAM351xSAM354
SAM351	SAM355	SAM351xSAM355
SAM351	SAM356	SAM351xSAM356
SAM351	SAM357	SAM351xSAM357
SAM351	SAM358	SAM351xSAM358
SAM351	SAM360	SAM351xSAM360
SAM351	SAM361	SAM351xSAM361
SAM351	SAM362	SAM351xSAM362
SAM351	SAM363	SAM351xSAM363
SAM351	SAM364	SAM351xSAM364
SAM351	SAM365	SAM351xSAM365
SAM351	SAM366	SAM351xSAM366
SAM351	SAM367	SAM351xSAM367
SAM351	SAM369	SAM351xSAM369
SAM351	SAM370	SAM351xSAM370
SAM351	SAM372	SAM351xSAM372
SAM351	SAM373	SAM351xSAM373
SAM351	SAM374	SAM351xSAM374
SAM351	SAM375	SAM351xSAM375
SAM351	SAM377	SAM351xSAM377
SAM351	SAM378	SAM351xSAM378
SAM351	SAM379	SAM351xSAM379
SAM351	SAM380	SAM351xSAM380
SAM351	SAM381	SAM351xSAM381
SAM351	SAM382	SAM351xSAM382
SAM352	SAM353	SAM352xSAM353
SAM352	SAM354	SAM352xSAM354
SAM352	SAM355	SAM352xSAM355
